year,service_center,title,initial,renew
2009,Vermont Service Center,MANUFACTURING INDUSTRY MANAGERS AND OFFICIALS,168,69
2009,Vermont Service Center,MARINE ENGINEERING OCCUPATIONS,81,115
2009,Vermont Service Center,MECHANICAL ENGINEERING OCCUPATIONS,129,106
2009,Vermont Service Center,METALLURGY AND METALLURGICAL ENGINEERING OCCUPATIONS,92,115
2009,Vermont Service Center,MINING AND PETROLEUM ENGINEERING OCCUPATIONS,157,99
2009,Vermont Service Center,MINING INDUSTRY MANAGERS AND OFFICIALS,30,161
2009,Vermont Service Center,"MISC. PROFESSIONAL, TECHNICAL, & MANAGERIAL OCC.,N.E.C.",194,146
2009,Vermont Service Center,"MISCELLANEOUS MANAGERS AND OFFICIALS, N.E.C.",134,106
2009,Vermont Service Center,MUSEUM CURATORS AND RELATED OCCUPATIONS,39,30
2009,Vermont Service Center,NO CODE PROVIDED OR ILLEGIBLE,335,14
2009,Vermont Service Center,NUCLEAR ENGINEERING OCCUPATIONS,255,73
2009,Vermont Service Center,"OCC. IN ARCHITECTURE, ENGINEERING, & SURVEYING, N.E.C.",165,128
2009,Vermont Service Center,"OCC. IN PRESCHOOL, PRIMARY SCHOOL, & KINDERGARTEN EDUCATION",133,81
2009,Vermont Service Center,"OCCUPATIONS IN ADMINISTRATIVE SPECIALIZATIONS, N.E.C.",164,126
2009,Vermont Service Center,OCCUPATIONS IN AGRICULTURAL SCIENCES,113,85
2009,Vermont Service Center,OCCUPATIONS IN ANTHROPOLOGY,,270
2009,Vermont Service Center,"OCCUPATIONS IN ART, N.E.C.",143,135
2009,Vermont Service Center,OCCUPATIONS IN ASTRONOMY,37,140
2009,Vermont Service Center,OCCUPATIONS IN ATHLETICS AND SPORTS,99,151
2009,Vermont Service Center,OCCUPATIONS IN BIOLOGICAL SCIENCES,108,97
2009,Vermont Service Center,OCCUPATIONS IN CHEMISTRY,137,100
2009,Vermont Service Center,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,154,209
2009,Vermont Service Center,OCCUPATIONS IN COMPUTER SYSTEM TECHNICAL SUPPORT,158,137
2009,Vermont Service Center,OCCUPATIONS IN COMPUTER SYSTEM USER SUPPORT,94,88
2009,Vermont Service Center,OCCUPATIONS IN DANCING,112,57
2009,Vermont Service Center,OCCUPATIONS IN DATA COMMUNICATIONS AND NETWORKS,164,135
2009,Vermont Service Center,OCCUPATIONS IN DRAMATICS,123,140
2009,Vermont Service Center,OCCUPATIONS IN ECONOMICS,191,144
2009,Vermont Service Center,OCCUPATIONS IN EDUCATION OF PERSONS WITH DISABILITIES,76,80
2009,Vermont Service Center,"OCCUPATIONS IN EDUCATION, N.E.C.",132,117
2009,Vermont Service Center,"OCCUPATIONS IN ENTERTAINMENT AND RECREATION, N.E.C.",163,82
2009,Vermont Service Center,OCCUPATIONS IN GEOLOGY,102,172
2009,Vermont Service Center,OCCUPATIONS IN HISTORY,42,
2009,Vermont Service Center,"OCCUPATIONS IN LAW AND JURISPRUDENCE, N.E.C.",130,120
2009,Vermont Service Center,"OCCUPATIONS IN LIFE SCIENCES, N.E.C.",154,125
2009,Vermont Service Center,OCCUPATIONS IN MATHEMATICS,188,139
2009,Vermont Service Center,"OCCUPATIONS IN MATHEMATICS AND PHYSICAL SCIENCES, N.E.C.",199,120
2009,Vermont Service Center,OCCUPATIONS IN MEDICAL AND DENTAL TECHNOLOGY,110,88
2009,Vermont Service Center,"OCCUPATIONS IN MEDICINE AND HEALTH, N.E.C.",160,110
2009,Vermont Service Center,OCCUPATIONS IN METEOROLOGY,13,97
2009,Vermont Service Center,"OCCUPATIONS IN MUSEUM, LIBRARY, & ARCHIVAL SCIENCES, N.E.C.",249,48
2009,Vermont Service Center,OCCUPATIONS IN MUSIC,102,118
2009,Vermont Service Center,OCCUPATIONS IN PHOTOGRAPHY,294,65
2009,Vermont Service Center,OCCUPATIONS IN PHYSICS,128,68
2009,Vermont Service Center,OCCUPATIONS IN POLITICAL SCIENCE,30,97
2009,Vermont Service Center,OCCUPATIONS IN PSYCHOLOGY,75,71
2009,Vermont Service Center,"OCCUPATIONS IN RELIGION AND THEOLOGY, N.E.C.",64,24
2009,Vermont Service Center,OCCUPATIONS IN SECONDARY SCHOOL EDUCATION,174,105
2009,Vermont Service Center,OCCUPATIONS IN SOCIAL AND WELFARE WORK,125,79
2009,Vermont Service Center,"OCCUPATIONS IN SOCIAL SCIENCES, N.E.C.",119,100
2009,Vermont Service Center,OCCUPATIONS IN SOCIOLOGY,62,181
2009,Vermont Service Center,OCCUPATIONS IN SYSTEM ANALYSIS AND PROGRAMMING,193,166
2009,Vermont Service Center,OCCUPATIONS IN VOCATIONAL EDUCATION,64,221
2009,Vermont Service Center,"OCCUPATIONS IN WRITING, N.E.C.",179,85
2009,Vermont Service Center,OSTEOPATHS,12,
2009,Vermont Service Center,PERSONNEL ADMINISTRATION OCCUPATIONS,154,142
2009,Vermont Service Center,PHARMACISTS,168,141
2009,Vermont Service Center,PHYSICIANS AND SURGEONS,62,59
2009,Vermont Service Center,PUBLIC ADMINISTRATION MANAGERS AND OFFICIALS,94,42
2009,Vermont Service Center,PUBLIC RELATIONS MANAGEMENT OCCUPATIONS,109,128
2009,Vermont Service Center,PURCHASING MANAGEMENT OCCUPATIONS,111,113
2009,Vermont Service Center,RADIO OPERATORS,13,
2009,Vermont Service Center,RAILROAD CONDUCTORS,,7
2009,Vermont Service Center,REGISTERED NURSES,148,64
2009,Vermont Service Center,SALES AND DISTRIBUTION MANAGEMENT OCCUPATIONS,136,113
2009,Vermont Service Center,SERVICE INDUSTRY MANAGERS AND OFFICIALS,144,95
2009,Vermont Service Center,"SHIP CAPTAINS, MATES PILOTS, AND ENGINEERS",,69
2009,Vermont Service Center,"SOUND, FILM, AND VIDEOTAPE RECORDING, AND REPRODUCTION OCC.",51,136
2009,Vermont Service Center,SURVEYING/CARTOGRAPHIC OCCUPATIONS,154,43
2009,Vermont Service Center,THERAPISTS,168,146
2009,Vermont Service Center,"TRANS, COMM, & UTILS INDUSTRY MANAGERS AND OFFICIALS",135,81
2009,Vermont Service Center,VETERINARIANS,164,97
2009,Vermont Service Center,WHOLESALE AND RETAIL TRADE MANAGERS AND OFFICIALS,117,134
2009,Vermont Service Center,WRITERS,127,62
2010,California Service Center,"ACCOUNTANTS, AUDITORS, AND RELATED OCCUPATIONS",165,128
2010,California Service Center,ADVERTISING MANAGEMENT OCCUPATIONS,139,133
2010,California Service Center,AERONAUTICAL ENGINEERING OCCUPATIONS,208,181
2010,California Service Center,"AGENTS AND APPRAISERS, N.E.C.",346,67
2010,California Service Center,AGRICULTURAL ENGINEERING OCCUPATIONS,131,75
2010,California Service Center,AIRPLANE PILOTS AND NAVIGATORS,5,44
2010,California Service Center,ARCHITECTURAL OCCUPATIONS,113,125
2010,California Service Center,ARCHIVISTS,18,71
2010,California Service Center,BUDGET AND MANAGEMENT SYSTEMS ANALYSIS OCCUPATIONS,171,114
2010,California Service Center,CERAMIC ENGINEERING OCCUPATIONS,132,92
2010,California Service Center,CHEMICAL ENGINEERING OCCUPATIONS,148,134
2010,California Service Center,CIVIL ENGINEERING OCCUPATIONS,139,124
2010,California Service Center,CLERGY,102,165
2010,California Service Center,"COMMERCIAL ARTISTS: DESIGNERS & ILLUSTRATORS, GRAPHIC ARTS",182,113
2010,California Service Center,"COMPUTER-RELATED OCCUPATIONS, N.E.C.",175,156
2010,California Service Center,CONSTRUCTION INDUSTRY MANAGERS AND OFFICIALS,198,152
2010,California Service Center,DENTISTS,108,104
2010,California Service Center,DIETICIANS,103,99
2010,California Service Center,"DRAFTERS, N.E.C.",56,141
2010,California Service Center,"EDITORS: PUBLICATION, BROADCAST, AND SCRIPT",152,104
2010,California Service Center,ELECTRICAL/ELECTRONICS ENGINEERING OCCUPATIONS,173,136
2010,California Service Center,"ENVIRONMENTAL, PRODUCT, AND RELATED DESIGNERS",163,150
2010,California Service Center,FASHION MODELS,98,68
2010,California Service Center,"FINANCE, INSURANCE, AND REAL ESTATE MANAGERS AND OFFICALS",120,129
2010,California Service Center,"FINE ARTISTS: PAINTERS, SCULPTORS, AND RELATED OCCUPATIONS",316,130
2010,California Service Center,HOME ECONOMISTS AND FARM ADVISERS,80,79
2010,California Service Center,INDUSTRIAL ENGINEERING OCCUPATIONS,148,124
2010,California Service Center,"INSPECTORS AND INVESTIGATORS, MANAGERIAL & PUBLIC SERVICE",76,113
2010,California Service Center,INTERPRETERS AND TRANSLATORS,96,94
2010,California Service Center,INVALID CODE,121,114
2010,California Service Center,JUDGES,1069,454
2010,California Service Center,LAWYERS,156,78
2010,California Service Center,LIBRARIANS,80,65
2010,California Service Center,MANUFACTURING INDUSTRY MANAGERS AND OFFICIALS,89,77
2010,California Service Center,MARINE ENGINEERING OCCUPATIONS,313,100
2010,California Service Center,MECHANICAL ENGINEERING OCCUPATIONS,155,126
2010,California Service Center,METALLURGY AND METALLURGICAL ENGINEERING OCCUPATIONS,79,140
2010,California Service Center,MINING AND PETROLEUM ENGINEERING OCCUPATIONS,199,186
2010,California Service Center,MINING INDUSTRY MANAGERS AND OFFICIALS,364,8
2010,California Service Center,"MISC. PROFESSIONAL, TECHNICAL, & MANAGERIAL OCC.,N.E.C.",174,146
2010,California Service Center,"MISCELLANEOUS MANAGERS AND OFFICIALS, N.E.C.",124,98
2010,California Service Center,MUSEUM CURATORS AND RELATED OCCUPATIONS,132,59
2010,California Service Center,NO CODE PROVIDED OR ILLEGIBLE,143,146
2010,California Service Center,NUCLEAR ENGINEERING OCCUPATIONS,45,104
2010,California Service Center,"OCC. IN ARCHITECTURE, ENGINEERING, & SURVEYING, N.E.C.",179,133
2010,California Service Center,"OCC. IN PRESCHOOL, PRIMARY SCHOOL, & KINDERGARTEN EDUCATION",103,104
2010,California Service Center,"OCCUPATIONS IN ADMINISTRATIVE SPECIALIZATIONS, N.E.C.",150,123
2010,California Service Center,OCCUPATIONS IN AGRICULTURAL SCIENCES,80,100
2010,California Service Center,OCCUPATIONS IN ANTHROPOLOGY,70,240
2010,California Service Center,"OCCUPATIONS IN ART, N.E.C.",90,110
2010,California Service Center,OCCUPATIONS IN ASTRONOMY,143,66
2010,California Service Center,OCCUPATIONS IN ATHLETICS AND SPORTS,150,92
2010,California Service Center,OCCUPATIONS IN BIOLOGICAL SCIENCES,191,154
2010,California Service Center,OCCUPATIONS IN CHEMISTRY,198,144
2010,California Service Center,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,179,173
2010,California Service Center,OCCUPATIONS IN COMPUTER SYSTEM TECHNICAL SUPPORT,167,131
2010,California Service Center,OCCUPATIONS IN COMPUTER SYSTEM USER SUPPORT,76,98
2010,California Service Center,OCCUPATIONS IN DANCING,135,51
2010,California Service Center,OCCUPATIONS IN DATA COMMUNICATIONS AND NETWORKS,162,134
2010,California Service Center,OCCUPATIONS IN DRAMATICS,194,24
2010,California Service Center,OCCUPATIONS IN ECONOMICS,161,125
2010,California Service Center,OCCUPATIONS IN EDUCATION OF PERSONS WITH DISABILITIES,67,103
2010,California Service Center,"OCCUPATIONS IN EDUCATION, N.E.C.",177,92
2010,California Service Center,"OCCUPATIONS IN ENTERTAINMENT AND RECREATION, N.E.C.",151,78
2010,California Service Center,OCCUPATIONS IN GEOLOGY,200,147
2010,California Service Center,OCCUPATIONS IN HISTORY,92,151
2010,California Service Center,"OCCUPATIONS IN LAW AND JURISPRUDENCE, N.E.C.",125,114
2010,California Service Center,"OCCUPATIONS IN LIFE SCIENCES, N.E.C.",206,132
2010,California Service Center,OCCUPATIONS IN MATHEMATICS,184,143
2010,California Service Center,"OCCUPATIONS IN MATHEMATICS AND PHYSICAL SCIENCES, N.E.C.",240,155
2010,California Service Center,OCCUPATIONS IN MEDICAL AND DENTAL TECHNOLOGY,101,101
2010,California Service Center,"OCCUPATIONS IN MEDICINE AND HEALTH, N.E.C.",139,138
2010,California Service Center,OCCUPATIONS IN METEOROLOGY,254,155
2010,California Service Center,"OCCUPATIONS IN MUSEUM, LIBRARY, & ARCHIVAL SCIENCES, N.E.C.",36,177
2010,California Service Center,OCCUPATIONS IN MUSIC,126,171
2010,California Service Center,OCCUPATIONS IN PHOTOGRAPHY,139,42
2010,California Service Center,OCCUPATIONS IN PHYSICS,179,166
2010,California Service Center,OCCUPATIONS IN POLITICAL SCIENCE,109,89
2010,California Service Center,OCCUPATIONS IN PSYCHOLOGY,101,107
2010,California Service Center,"OCCUPATIONS IN RELIGION AND THEOLOGY, N.E.C.",92,46
2010,California Service Center,OCCUPATIONS IN SECONDARY SCHOOL EDUCATION,98,106
2010,California Service Center,OCCUPATIONS IN SOCIAL AND WELFARE WORK,142,120
2010,California Service Center,"OCCUPATIONS IN SOCIAL SCIENCES, N.E.C.",152,119
2010,California Service Center,OCCUPATIONS IN SOCIOLOGY,137,60
2010,California Service Center,OCCUPATIONS IN SYSTEM ANALYSIS AND PROGRAMMING,174,147
2010,California Service Center,OCCUPATIONS IN VOCATIONAL EDUCATION,105,97
2010,California Service Center,"OCCUPATIONS IN WRITING, N.E.C.",149,117
2010,California Service Center,OSTEOPATHS,65,79
2010,California Service Center,PERSONNEL ADMINISTRATION OCCUPATIONS,175,148
2010,California Service Center,PHARMACISTS,115,139
2010,California Service Center,PHYSICIANS AND SURGEONS,57,93
2010,California Service Center,PUBLIC ADMINISTRATION MANAGERS AND OFFICIALS,40,36
2010,California Service Center,PUBLIC RELATIONS MANAGEMENT OCCUPATIONS,170,131
2010,California Service Center,PURCHASING MANAGEMENT OCCUPATIONS,144,97
2010,California Service Center,RADIO OPERATORS,198,79
2010,California Service Center,RAILROAD CONDUCTORS,7,145
2010,California Service Center,REGISTERED NURSES,136,124
2010,California Service Center,SALES AND DISTRIBUTION MANAGEMENT OCCUPATIONS,121,107
2010,California Service Center,SERVICE INDUSTRY MANAGERS AND OFFICIALS,118,87
2010,California Service Center,"SHIP CAPTAINS, MATES PILOTS, AND ENGINEERS",87,
2010,California Service Center,"SOUND, FILM, AND VIDEOTAPE RECORDING, AND REPRODUCTION OCC.",76,96
2010,California Service Center,SURVEYING/CARTOGRAPHIC OCCUPATIONS,97,61
2010,California Service Center,THERAPISTS,180,149
2010,California Service Center,"TRANS, COMM, & UTILS INDUSTRY MANAGERS AND OFFICIALS",162,111
2010,California Service Center,VETERINARIANS,149,143
2010,California Service Center,WHOLESALE AND RETAIL TRADE MANAGERS AND OFFICIALS,162,105
2010,California Service Center,WRITERS,151,76
2010,Nebraska Service Center,OCCUPATIONS IN SYSTEM ANALYSIS AND PROGRAMMING,32,33
2010,Nebraska Service Center,SERVICE INDUSTRY MANAGERS AND OFFICIALS,168,
2010,Texas Service Center,THERAPISTS,1316,
2010,Vermont Service Center,"ACCOUNTANTS, AUDITORS, AND RELATED OCCUPATIONS",189,149
2010,Vermont Service Center,ADVERTISING MANAGEMENT OCCUPATIONS,169,169
2010,Vermont Service Center,AERONAUTICAL ENGINEERING OCCUPATIONS,138,107
2010,Vermont Service Center,"AGENTS AND APPRAISERS, N.E.C.",115,385
2010,Vermont Service Center,AGRICULTURAL ENGINEERING OCCUPATIONS,185,127
2010,Vermont Service Center,AIRPLANE PILOTS AND NAVIGATORS,25,27
2010,Vermont Service Center,ARCHITECTURAL OCCUPATIONS,128,134
2010,Vermont Service Center,ARCHIVISTS,66,40
2010,Vermont Service Center,BUDGET AND MANAGEMENT SYSTEMS ANALYSIS OCCUPATIONS,172,159
2010,Vermont Service Center,CERAMIC ENGINEERING OCCUPATIONS,258,84
2010,Vermont Service Center,CHEMICAL ENGINEERING OCCUPATIONS,162,131
2010,Vermont Service Center,CIVIL ENGINEERING OCCUPATIONS,139,153
2010,Vermont Service Center,CLERGY,61,86
2010,Vermont Service Center,"COMMERCIAL ARTISTS: DESIGNERS & ILLUSTRATORS, GRAPHIC ARTS",146,129
2010,Vermont Service Center,"COMPUTER-RELATED OCCUPATIONS, N.E.C.",200,165
2010,Vermont Service Center,CONSTRUCTION INDUSTRY MANAGERS AND OFFICIALS,148,169
2010,Vermont Service Center,DENTISTS,114,128
2010,Vermont Service Center,DIETICIANS,173,163
2010,Vermont Service Center,"DRAFTERS, N.E.C.",93,79
2010,Vermont Service Center,"EDITORS: PUBLICATION, BROADCAST, AND SCRIPT",138,104
2010,Vermont Service Center,ELECTRICAL/ELECTRONICS ENGINEERING OCCUPATIONS,200,159
2010,Vermont Service Center,"ENVIRONMENTAL, PRODUCT, AND RELATED DESIGNERS",116,139
2010,Vermont Service Center,FASHION MODELS,61,38
2010,Vermont Service Center,"FINANCE, INSURANCE, AND REAL ESTATE MANAGERS AND OFFICALS",143,135
2010,Vermont Service Center,"FINE ARTISTS: PAINTERS, SCULPTORS, AND RELATED OCCUPATIONS",154,103
2010,Vermont Service Center,HOME ECONOMISTS AND FARM ADVISERS,44,99
2010,Vermont Service Center,INDUSTRIAL ENGINEERING OCCUPATIONS,174,147
2010,Vermont Service Center,"INSPECTORS AND INVESTIGATORS, MANAGERIAL & PUBLIC SERVICE",163,88
2010,Vermont Service Center,INTERPRETERS AND TRANSLATORS,144,113
2010,Vermont Service Center,INVALID CODE,174,102
2010,Vermont Service Center,JUDGES,66,209
2010,Vermont Service Center,LAWYERS,167,141
2010,Vermont Service Center,LIBRARIANS,64,260
2010,Vermont Service Center,MANUFACTURING INDUSTRY MANAGERS AND OFFICIALS,141,99
2010,Vermont Service Center,MARINE ENGINEERING OCCUPATIONS,206,90
2010,Vermont Service Center,MECHANICAL ENGINEERING OCCUPATIONS,149,146
2010,Vermont Service Center,METALLURGY AND METALLURGICAL ENGINEERING OCCUPATIONS,152,183
2010,Vermont Service Center,MINING AND PETROLEUM ENGINEERING OCCUPATIONS,178,150
2010,Vermont Service Center,MINING INDUSTRY MANAGERS AND OFFICIALS,56,61
2010,Vermont Service Center,"MISC. PROFESSIONAL, TECHNICAL, & MANAGERIAL OCC.,N.E.C.",189,145
2010,Vermont Service Center,"MISCELLANEOUS MANAGERS AND OFFICIALS, N.E.C.",143,121
2010,Vermont Service Center,MUSEUM CURATORS AND RELATED OCCUPATIONS,89,135
2010,Vermont Service Center,NO CODE PROVIDED OR ILLEGIBLE,140,70
2010,Vermont Service Center,NUCLEAR ENGINEERING OCCUPATIONS,181,122
2010,Vermont Service Center,"OCC. IN ARCHITECTURE, ENGINEERING, & SURVEYING, N.E.C.",166,139
2010,Vermont Service Center,"OCC. IN PRESCHOOL, PRIMARY SCHOOL, & KINDERGARTEN EDUCATION",120,131
2010,Vermont Service Center,"OCCUPATIONS IN ADMINISTRATIVE SPECIALIZATIONS, N.E.C.",163,149
2010,Vermont Service Center,OCCUPATIONS IN AGRICULTURAL SCIENCES,127,127
2010,Vermont Service Center,OCCUPATIONS IN ANTHROPOLOGY,,122
2010,Vermont Service Center,"OCCUPATIONS IN ART, N.E.C.",152,153
2010,Vermont Service Center,OCCUPATIONS IN ASTRONOMY,101,144
2010,Vermont Service Center,OCCUPATIONS IN ATHLETICS AND SPORTS,157,140
2010,Vermont Service Center,OCCUPATIONS IN BIOLOGICAL SCIENCES,153,141
2010,Vermont Service Center,OCCUPATIONS IN CHEMISTRY,149,102
2010,Vermont Service Center,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,208,96
2010,Vermont Service Center,OCCUPATIONS IN COMPUTER SYSTEM TECHNICAL SUPPORT,170,126
2010,Vermont Service Center,OCCUPATIONS IN COMPUTER SYSTEM USER SUPPORT,180,134
2010,Vermont Service Center,OCCUPATIONS IN DANCING,305,281
2010,Vermont Service Center,OCCUPATIONS IN DATA COMMUNICATIONS AND NETWORKS,177,157
2010,Vermont Service Center,OCCUPATIONS IN DRAMATICS,99,101
2010,Vermont Service Center,OCCUPATIONS IN ECONOMICS,192,152
2010,Vermont Service Center,OCCUPATIONS IN EDUCATION OF PERSONS WITH DISABILITIES,161,171
2010,Vermont Service Center,"OCCUPATIONS IN EDUCATION, N.E.C.",163,115
2010,Vermont Service Center,"OCCUPATIONS IN ENTERTAINMENT AND RECREATION, N.E.C.",138,126
2010,Vermont Service Center,OCCUPATIONS IN GEOLOGY,126,140
2010,Vermont Service Center,OCCUPATIONS IN HISTORY,26,86
2010,Vermont Service Center,"OCCUPATIONS IN LAW AND JURISPRUDENCE, N.E.C.",172,122
2010,Vermont Service Center,"OCCUPATIONS IN LIFE SCIENCES, N.E.C.",166,194
2010,Vermont Service Center,OCCUPATIONS IN MATHEMATICS,216,167
2010,Vermont Service Center,"OCCUPATIONS IN MATHEMATICS AND PHYSICAL SCIENCES, N.E.C.",120,110
2010,Vermont Service Center,OCCUPATIONS IN MEDICAL AND DENTAL TECHNOLOGY,127,126
2010,Vermont Service Center,"OCCUPATIONS IN MEDICINE AND HEALTH, N.E.C.",169,147
2010,Vermont Service Center,OCCUPATIONS IN METEOROLOGY,75,109
2010,Vermont Service Center,"OCCUPATIONS IN MUSEUM, LIBRARY, & ARCHIVAL SCIENCES, N.E.C.",70,80
2010,Vermont Service Center,OCCUPATIONS IN MUSIC,150,151
2010,Vermont Service Center,OCCUPATIONS IN PHOTOGRAPHY,74,102
2010,Vermont Service Center,OCCUPATIONS IN PHYSICS,123,94
2010,Vermont Service Center,OCCUPATIONS IN POLITICAL SCIENCE,205,144
2010,Vermont Service Center,OCCUPATIONS IN PSYCHOLOGY,97,131
2010,Vermont Service Center,"OCCUPATIONS IN RELIGION AND THEOLOGY, N.E.C.",135,94
2010,Vermont Service Center,OCCUPATIONS IN SECONDARY SCHOOL EDUCATION,165,146
2010,Vermont Service Center,OCCUPATIONS IN SOCIAL AND WELFARE WORK,176,133
2010,Vermont Service Center,"OCCUPATIONS IN SOCIAL SCIENCES, N.E.C.",173,133
2010,Vermont Service Center,OCCUPATIONS IN SOCIOLOGY,305,87
2010,Vermont Service Center,OCCUPATIONS IN SYSTEM ANALYSIS AND PROGRAMMING,202,165
2010,Vermont Service Center,OCCUPATIONS IN VOCATIONAL EDUCATION,66,184
2010,Vermont Service Center,"OCCUPATIONS IN WRITING, N.E.C.",158,215
2010,Vermont Service Center,OSTEOPATHS,46,67
2010,Vermont Service Center,PERSONNEL ADMINISTRATION OCCUPATIONS,172,176
2010,Vermont Service Center,PHARMACISTS,130,155
2010,Vermont Service Center,PHYSICIANS AND SURGEONS,65,88
2010,Vermont Service Center,PUBLIC ADMINISTRATION MANAGERS AND OFFICIALS,111,158
2010,Vermont Service Center,PUBLIC RELATIONS MANAGEMENT OCCUPATIONS,152,132
2010,Vermont Service Center,PURCHASING MANAGEMENT OCCUPATIONS,162,129
2010,Vermont Service Center,RADIO OPERATORS,41,
2010,Vermont Service Center,RAILROAD CONDUCTORS,,788
2010,Vermont Service Center,REGISTERED NURSES,175,263
2010,Vermont Service Center,SALES AND DISTRIBUTION MANAGEMENT OCCUPATIONS,150,121
2010,Vermont Service Center,SERVICE INDUSTRY MANAGERS AND OFFICIALS,157,130
2010,Vermont Service Center,"SOUND, FILM, AND VIDEOTAPE RECORDING, AND REPRODUCTION OCC.",70,145
2010,Vermont Service Center,SURVEYING/CARTOGRAPHIC OCCUPATIONS,66,169
2010,Vermont Service Center,THERAPISTS,205,186
2010,Vermont Service Center,"TRANS, COMM, & UTILS INDUSTRY MANAGERS AND OFFICIALS",161,110
2010,Vermont Service Center,VETERINARIANS,143,181
2010,Vermont Service Center,WHOLESALE AND RETAIL TRADE MANAGERS AND OFFICIALS,162,106
2010,Vermont Service Center,WRITERS,191,120
2011,California Service Center,"ACCOUNTANTS, AUDITORS, AND RELATED OCCUPATIONS",155,131
2011,California Service Center,ADVERTISING MANAGEMENT OCCUPATIONS,149,132
2011,California Service Center,AERONAUTICAL ENGINEERING OCCUPATIONS,96,142
2011,California Service Center,"AGENTS AND APPRAISERS, N.E.C.",45,85
2011,California Service Center,AGRICULTURAL ENGINEERING OCCUPATIONS,137,54
2011,California Service Center,AIRPLANE PILOTS AND NAVIGATORS,,62
2011,California Service Center,ARCHITECTURAL OCCUPATIONS,119,120
2011,California Service Center,ARCHIVISTS,44,39
2011,California Service Center,BUDGET AND MANAGEMENT SYSTEMS ANALYSIS OCCUPATIONS,137,125
2011,California Service Center,CERAMIC ENGINEERING OCCUPATIONS,89,65
2011,California Service Center,CHEMICAL ENGINEERING OCCUPATIONS,143,89
2011,California Service Center,CIVIL ENGINEERING OCCUPATIONS,115,118
2011,California Service Center,CLERGY,142,108
2011,California Service Center,"COMMERCIAL ARTISTS: DESIGNERS & ILLUSTRATORS, GRAPHIC ARTS",165,125
2011,California Service Center,"COMPUTER-RELATED OCCUPATIONS, N.E.C.",132,131
2011,California Service Center,CONSTRUCTION INDUSTRY MANAGERS AND OFFICIALS,99,101
2011,California Service Center,DENTISTS,85,90
2011,California Service Center,DIETICIANS,92,61
2011,California Service Center,"DRAFTERS, N.E.C.",60,159
2011,California Service Center,"EDITORS: PUBLICATION, BROADCAST, AND SCRIPT",95,89
2011,California Service Center,ELECTRICAL/ELECTRONICS ENGINEERING OCCUPATIONS,135,126
2011,California Service Center,"ENVIRONMENTAL, PRODUCT, AND RELATED DESIGNERS",113,97
2011,California Service Center,FASHION MODELS,72,87
2011,California Service Center,"FINANCE, INSURANCE, AND REAL ESTATE MANAGERS AND OFFICALS",116,127
2011,California Service Center,"FINE ARTISTS: PAINTERS, SCULPTORS, AND RELATED OCCUPATIONS",197,289
2011,California Service Center,HOME ECONOMISTS AND FARM ADVISERS,13,67
2011,California Service Center,INDUSTRIAL ENGINEERING OCCUPATIONS,108,121
2011,California Service Center,"INSPECTORS AND INVESTIGATORS, MANAGERIAL & PUBLIC SERVICE",161,49
2011,California Service Center,INTERPRETERS AND TRANSLATORS,137,116
2011,California Service Center,INVALID CODE,136,128
2011,California Service Center,JUDGES,,56
2011,California Service Center,LAWYERS,131,75
2011,California Service Center,LIBRARIANS,77,100
2011,California Service Center,MANUFACTURING INDUSTRY MANAGERS AND OFFICIALS,171,83
2011,California Service Center,MARINE ENGINEERING OCCUPATIONS,135,48
2011,California Service Center,MECHANICAL ENGINEERING OCCUPATIONS,124,113
2011,California Service Center,METALLURGY AND METALLURGICAL ENGINEERING OCCUPATIONS,94,111
2011,California Service Center,MINING AND PETROLEUM ENGINEERING OCCUPATIONS,124,97
2011,California Service Center,MINING INDUSTRY MANAGERS AND OFFICIALS,46,14
2011,California Service Center,"MISC. PROFESSIONAL, TECHNICAL, & MANAGERIAL OCC.,N.E.C.",149,134
2011,California Service Center,"MISCELLANEOUS MANAGERS AND OFFICIALS, N.E.C.",98,94
2011,California Service Center,MUSEUM CURATORS AND RELATED OCCUPATIONS,135,98
2011,California Service Center,NO CODE PROVIDED OR ILLEGIBLE,143,130
2011,California Service Center,NUCLEAR ENGINEERING OCCUPATIONS,91,72
2011,California Service Center,"OCC. IN ARCHITECTURE, ENGINEERING, & SURVEYING, N.E.C.",139,129
2011,California Service Center,"OCC. IN PRESCHOOL, PRIMARY SCHOOL, & KINDERGARTEN EDUCATION",115,85
2011,California Service Center,"OCCUPATIONS IN ADMINISTRATIVE SPECIALIZATIONS, N.E.C.",148,123
2011,California Service Center,OCCUPATIONS IN AGRICULTURAL SCIENCES,120,122
2011,California Service Center,OCCUPATIONS IN ANTHROPOLOGY,176,78
2011,California Service Center,"OCCUPATIONS IN ART, N.E.C.",150,159
2011,California Service Center,OCCUPATIONS IN ASTRONOMY,158,54
2011,California Service Center,OCCUPATIONS IN ATHLETICS AND SPORTS,130,95
2011,California Service Center,OCCUPATIONS IN BIOLOGICAL SCIENCES,151,129
2011,California Service Center,OCCUPATIONS IN CHEMISTRY,142,127
2011,California Service Center,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,151,139
2011,California Service Center,OCCUPATIONS IN COMPUTER SYSTEM TECHNICAL SUPPORT,153,148
